feature,importance
heating_degree_days,0.45500368
hour,0.2987162
hour_sin,0.117944136
load_rolling_12h_std,0.022520257
temp_c_squared,0.021203335
hour_cos,0.011282369
load_rolling_12h_mean,0.008967904
load_rolling_12h_max,0.005900376
load_rolling_3h_min,0.0038945542
load_lag_12h,0.0038844012
load_lag_6h,0.0036610377
day_of_year,0.0035774051
cooling_degree_days,0.0034730167
temp_c,0.0033147507
load_lag_2h,0.0032826175
temp_humidity_interaction,0.002927449
load_rolling_6h_min,0.0027537083
load_rolling_6h_max,0.002425971
load_rolling_24h_mean,0.0023955093
load_lag_24h,0.0022457752
load_rolling_6h_mean,0.0020276017
load_rolling_3h_max,0.0020201323
load_rolling_3h_mean,0.001958879
load_rolling_3h_std,0.001843696
load_rolling_12h_min,0.0017674039
wind_chill_effect,0.0017000249
wind_speed,0.0015716295
load_lag_3h,0.0013440183
load_lag_1h,0.0012968363
load_rolling_6h_std,0.0012819986
load_rolling_24h_std,0.0007941252
load_rolling_24h_min,0.0007286007
humidity,0.0006923488
day_of_week,0.0005807202
load_rolling_24h_max,0.00038439364
day_of_week_sin,0.0003245005
load,0.00030861594
day_of_year_sin,0.0
day_of_year_cos,0.0
day_of_week_cos,0.0
is_business_hours,0.0
is_weekend,0.0
month,0.0
